direction,flight_number,call_sign,status,codeshare_status,is_cargo,airline_name,airline_iata,airline_icao,aircraft_reg,aircraft_modeS,aircraft_model,aircraft_image_url,aircraft_image_web_url,aircraft_image_author,aircraft_image_title,aircraft_image_description,aircraft_image_license,aircraft_image_html_attributions,departure_airport_name,departure_airport_iata,departure_airport_icao,departure_airport_local_code,departure_airport_short_name,departure_airport_municipality_name,departure_airport_lat,departure_airport_lon,departure_airport_country_code,departure_airport_time_zone,departure_scheduled_utc,departure_scheduled_local,departure_revised_utc,departure_revised_local,departure_predicted_utc,departure_predicted_local,departure_runway_utc,departure_runway_local,departure_terminal,departure_check_in_desk,departure_gate,departure_baggage_belt,departure_runway,departure_quality,arrival_airport_name,arrival_airport_iata,arrival_airport_icao,arrival_airport_local_code,arrival_airport_short_name,arrival_airport_municipality_name,arrival_airport_lat,arrival_airport_lon,arrival_airport_country_code,arrival_airport_time_zone,arrival_scheduled_utc,arrival_scheduled_local,arrival_revised_utc,arrival_revised_local,arrival_predicted_utc,arrival_predicted_local,arrival_runway_utc,arrival_runway_local,arrival_terminal,arrival_check_in_desk,arrival_gate,arrival_baggage_belt,arrival_runway,arrival_quality
arrival,U2 2937,EZY78KA,Arrived,IsOperator,False,easyJet,U2,EZY,G-EZUI,406542,Airbus A320,,,,,,,,Bristol,BRS,EGGD,,,,,,,Europe/London,2025-05-09 05:25Z,2025-05-09 06:25+01:00,2025-05-09 05:28Z,2025-05-09 06:28+01:00,,,2025-05-09 05:34Z,2025-05-09 06:34+01:00,,,,,09,"Basic,Live",,,,,,,,,,,2025-05-09 07:55Z,2025-05-09 09:55+02:00,2025-05-10 07:48Z,2025-05-10 09:48+02:00,,,2025-05-09 07:47Z,2025-05-09 09:47+02:00,,,,,,"Basic,Live"
arrival,FR 2723,RYR556Q,Arrived,IsOperator,False,Ryanair,FR,RYR,SP-RZL,48C2AB,Boeing 737,,,,,,,,Bari,BRI,LIBD,,,,,,,Europe/Rome,2025-05-09 06:15Z,2025-05-09 08:15+02:00,,,,,,,,,,,,Basic,,,,,,,,,,,2025-05-09 08:05Z,2025-05-09 10:05+02:00,2025-05-10 07:55Z,2025-05-10 09:55+02:00,,,,,,,,,,"Basic,Live"
arrival,U2 8821,EZY48UK,Arrived,IsOperator,False,easyJet,U2,EZY,G-EZWP,406A91,Airbus A320,,,,,,,,London,LGW,EGKK,,,,,,,Europe/London,2025-05-09 05:55Z,2025-05-09 06:55+01:00,2025-05-09 06:01Z,2025-05-09 07:01+01:00,,,2025-05-09 06:02Z,2025-05-09 07:02+01:00,N,,,,,"Basic,Live",,,,,,,,,,,2025-05-09 08:25Z,2025-05-09 10:25+02:00,2025-05-10 08:04Z,2025-05-10 10:04+02:00,,,,,,,,,,"Basic,Live"
arrival,W6 2072,WZZ976,Arrived,IsOperator,False,Wizz Air,W6,WZZ,9H-WNN,4D200E,Airbus A320,,,,,,,,Nice,NCE,LFMN,,,,,,,Europe/Paris,2025-05-09 06:25Z,2025-05-09 08:25+02:00,2025-05-09 06:38Z,2025-05-09 08:38+02:00,,,2025-05-09 06:38Z,2025-05-09 08:38+02:00,2,,,,,"Basic,Live",,,,,,,,,,,2025-05-09 08:30Z,2025-05-09 10:30+02:00,2025-05-10 08:13Z,2025-05-10 10:13+02:00,,,,,,,,,,"Basic,Live"
arrival,QQE 245,QQE245,Approaching,IsOperator,False,QQE,,,A7-CGE,06A1CA,Gulfstream G500,,,,,,,,Bedford,BED,KBED,,,,,,,America/New_York,2025-05-10 00:50Z,2025-05-09 20:50-04:00,2025-05-10 00:50Z,2025-05-09 20:50-04:00,,,,,,,,,,"Basic,Live",,,,,,,,,,,2025-05-10 08:14Z,2025-05-10 10:14+02:00,2025-05-10 08:14Z,2025-05-10 10:14+02:00,,,,,,,,,25,"Basic,Live"
arrival,FR 7274,RYR83CJ,Arrived,IsOperator,False,Ryanair,FR,RYR,SP-RZF,48C2A5,Boeing 737,,,,,,,,Zadar,ZAD,LDZD,,,,,,,Europe/Zagreb,2025-05-09 06:55Z,2025-05-09 08:55+02:00,,,,,,,,,,,,Basic,,,,,,,,,,,2025-05-09 08:30Z,2025-05-09 10:30+02:00,2025-05-10 08:20Z,2025-05-10 10:20+02:00,,,2025-05-09 08:20Z,2025-05-09 10:20+02:00,,,,,07,"Basic,Live"
arrival,FR 4934,RYR97RG,Arrived,IsOperator,False,Ryanair,FR,RYR,SP-RSH,48C227,Boeing 737-800,,,,,,,,Brussels,CRL,EBCI,,,,,,,Europe/Brussels,2025-05-09 06:40Z,2025-05-09 08:40+02:00,2025-05-09 07:01Z,2025-05-09 09:01+02:00,,,2025-05-09 07:01Z,2025-05-09 09:01+02:00,,,,,,"Basic,Live",,,,,,,,,,,2025-05-09 08:35Z,2025-05-09 10:35+02:00,2025-05-10 08:36Z,2025-05-10 10:36+02:00,,,,,,,,,,"Basic,Live"
arrival,FR 3046,RYR397V,Arrived,IsOperator,False,Ryanair,FR,RYR,9H-QCM,4D2290,Boeing 737-800,,,,,,,,Pescara,PSR,LIBP,,,,,,,Europe/Rome,2025-05-09 07:15Z,2025-05-09 09:15+02:00,,,,,,,,,,,,Basic,,,,,,,,,,,2025-05-09 09:05Z,2025-05-09 11:05+02:00,2025-05-10 08:38Z,2025-05-10 10:38+02:00,,,,,,,,,,"Basic,Live"
arrival,W6 2044,WZZ655,Arrived,IsOperator,False,Wizz Air,W6,WZZ,9H-WNJ,4D2536,Airbus A320,,,,,,,,Stavanger,SVG,ENZV,,,,,,,Europe/Oslo,2025-05-09 06:55Z,2025-05-09 08:55+02:00,2025-05-09 07:05Z,2025-05-09 09:05+02:00,,,2025-05-09 07:19Z,2025-05-09 09:19+02:00,,,12,,,"Basic,Live",,,,,,,,,,,2025-05-09 09:00Z,2025-05-09 11:00+02:00,2025-05-10 09:06Z,2025-05-10 11:06+02:00,,,,,,,,,07,"Basic,Live"
arrival,FR 4511,RYR97EU,Arrived,IsOperator,False,Ryanair,FR,RYR,EI-ENM,4CA8D8,Boeing 737,,,,,,,,Palma De Mallorca,PMI,LEPA,,,,,,,Europe/Madrid,2025-05-09 06:30Z,2025-05-09 08:30+02:00,2025-05-09 06:33Z,2025-05-09 08:33+02:00,,,2025-05-09 06:51Z,2025-05-09 08:51+02:00,N,002-017,C66,,,"Basic,Live",,,,,,,,,,,2025-05-09 09:15Z,2025-05-09 11:15+02:00,2025-05-10 09:10Z,2025-05-10 11:10+02:00,,,,,,,,,,"Basic,Live"
