direction,flight_number,call_sign,status,codeshare_status,is_cargo,airline_name,airline_iata,airline_icao,aircraft_reg,aircraft_modeS,aircraft_model,aircraft_image_url,aircraft_image_web_url,aircraft_image_author,aircraft_image_title,aircraft_image_description,aircraft_image_license,aircraft_image_html_attributions,departure_airport_name,departure_airport_iata,departure_airport_icao,departure_airport_local_code,departure_airport_short_name,departure_airport_municipality_name,departure_airport_lat,departure_airport_lon,departure_airport_country_code,departure_airport_time_zone,departure_scheduled_utc,departure_scheduled_local,departure_revised_utc,departure_revised_local,departure_predicted_utc,departure_predicted_local,departure_runway_utc,departure_runway_local,departure_terminal,departure_check_in_desk,departure_gate,departure_baggage_belt,departure_runway,departure_quality,arrival_airport_name,arrival_airport_iata,arrival_airport_icao,arrival_airport_local_code,arrival_airport_short_name,arrival_airport_municipality_name,arrival_airport_lat,arrival_airport_lon,arrival_airport_country_code,arrival_airport_time_zone,arrival_scheduled_utc,arrival_scheduled_local,arrival_revised_utc,arrival_revised_local,arrival_predicted_utc,arrival_predicted_local,arrival_runway_utc,arrival_runway_local,arrival_terminal,arrival_check_in_desk,arrival_gate,arrival_baggage_belt,arrival_runway,arrival_quality
arrival,W6 1076,WZZ5WQ,Arrived,IsOperator,False,Wizz Air,W6,WZZ,9H-WDL,4D2492,Airbus A321 NEO,,,,,,,,Alicante,ALC,LEAL,,,,,,,Europe/Madrid,2025-05-15 20:30Z,2025-05-15 22:30+02:00,2025-05-15 21:30Z,2025-05-15 23:30+02:00,,,,,N,118-119,C49,,,"Basic,Live",,,,,,,,,,,2025-05-15 23:35Z,2025-05-16 01:35+02:00,2025-05-16 00:35Z,2025-05-16 02:35+02:00,,,2025-05-16 00:35Z,2025-05-16 02:35+02:00,A,,,,27,"Basic,Live"
arrival,ABR 5TW,ABR5TW,Approaching,IsOperator,True,ASL Airlines Ireland,,ABR,EI-HAE,4CACA3,ATR 72 Freighter,,,,,,,,Liège,LGG,EBLG,,,,,,,Europe/Brussels,2025-05-16 01:32Z,2025-05-16 03:32+02:00,2025-05-16 01:32Z,2025-05-16 03:32+02:00,,,2025-05-16 01:32Z,2025-05-16 03:32+02:00,,,,,04R,"Basic,Live",,,,,,,,,,,2025-05-16 03:44Z,2025-05-16 05:44+02:00,2025-05-16 03:44Z,2025-05-16 05:44+02:00,,,,,,,,,,"Basic,Live"
arrival,3V 4463,TAY4463,Arrived,IsOperator,False,ASL Airlines Belgium,3V,TAY,OE-IXA,440B61,Boeing 737-800,,,,,,,,Paris,CDG,LFPG,,,,,,,Europe/Paris,2025-05-16 02:29Z,2025-05-16 04:29+02:00,2025-05-16 02:29Z,2025-05-16 04:29+02:00,,,2025-05-16 02:29Z,2025-05-16 04:29+02:00,,,,,08L,"Basic,Live",,,,,,,,,,,2025-05-16 04:10Z,2025-05-16 06:10+02:00,2025-05-16 04:10Z,2025-05-16 06:10+02:00,,,2025-05-16 04:10Z,2025-05-16 06:10+02:00,,,,,27,"Basic,Live"
arrival,MGH 873,MGH873,Approaching,IsOperator,False,MGH,,,TC-MGG,4BB4E7,Boeing 777-300,,,,,,,,Antalya,AYT,LTAI,,,,,,,Europe/Istanbul,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-16 04:56Z,2025-05-16 06:56+02:00,2025-05-16 04:56Z,2025-05-16 06:56+02:00,,,,,,,,,27,"Basic,Live"
arrival,IZ 303,AIZ303,Arrived,IsOperator,False,Arkia Israeli Airlines,IZ,AIZ,LZ-EAH,45213D,Airbus A320,,,,,,,,Tel Aviv Yafo,TLV,LLBG,,,,,,,Asia/Jerusalem,2025-05-16 02:04Z,2025-05-16 05:04+03:00,2025-05-16 02:04Z,2025-05-16 05:04+03:00,,,2025-05-16 02:04Z,2025-05-16 05:04+03:00,,,,,26,"Basic,Live",,,,,,,,,,,2025-05-16 05:28Z,2025-05-16 07:28+02:00,2025-05-16 05:28Z,2025-05-16 07:28+02:00,,,2025-05-16 05:28Z,2025-05-16 07:28+02:00,,,,,27,"Basic,Live"
arrival,FR 4102,RYR49JJ,Approaching,IsOperator,False,Ryanair,FR,RYR,EI-IJM,4CAE62,Boeing 737 MAX 8,,,,,,,,Luqa,MLA,LMML,,,,,,,Europe/Malta,2025-05-16 04:05Z,2025-05-16 06:05+02:00,,,,,,,,,,,,Basic,,,,,,,,,,,2025-05-16 06:40Z,2025-05-16 08:40+02:00,2025-05-16 06:13Z,2025-05-16 08:13+02:00,,,,,A,,,,,"Basic,Live"
arrival,MGH 889,MGH889,Approaching,IsOperator,False,MGH,,,TC-MGP,4BB4F0,Boeing 737-800,,,,,,,,Dalaman,DLM,LTBS,,,,,,,Europe/Istanbul,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-16 06:45Z,2025-05-16 08:45+02:00,2025-05-16 06:45Z,2025-05-16 08:45+02:00,,,,,,,,,27,"Basic,Live"
arrival,FR 9410,RYR94GK,Arrived,IsOperator,False,Ryanair,FR,RYR,SP-RZE,48C2A4,Boeing 737 MAX 8,,,,,,,,Pula,PUY,LDPL,,,,,,,Europe/Zagreb,2025-05-16 05:55Z,2025-05-16 07:55+02:00,,,,,,,,,,,,Basic,,,,,,,,,,,2025-05-16 07:20Z,2025-05-16 09:20+02:00,2025-05-16 07:13Z,2025-05-16 09:13+02:00,,,2025-05-16 07:13Z,2025-05-16 09:13+02:00,A,,,,27,"Basic,Live"
arrival,LH 1384,DLH8JH,Arrived,IsOperator,False,Lufthansa,LH,DLH,D-AILU,3C6595,Airbus A319,,,,,,,,Frankfurt-am-Main,FRA,EDDF,,,,,,,Europe/Berlin,2025-05-16 05:55Z,2025-05-16 07:55+02:00,2025-05-16 05:55Z,2025-05-16 07:55+02:00,,,2025-05-16 06:05Z,2025-05-16 08:05+02:00,1,259-335,A24,,,"Basic,Live",,,,,,,,,,,2025-05-16 07:30Z,2025-05-16 09:30+02:00,2025-05-16 07:16Z,2025-05-16 09:16+02:00,,,2025-05-16 07:16Z,2025-05-16 09:16+02:00,C,,,,27,"Basic,Live"
arrival,W6 1092,WZZ35WV,Arrived,IsOperator,False,Wizz Air,W6,WZZ,HA-LYS,471F8E,Airbus A320,,,,,,,,Dortmund,DTM,EDLW,,,,,,,Europe/Berlin,2025-05-16 06:40Z,2025-05-16 08:40+02:00,2025-05-16 06:41Z,2025-05-16 08:41+02:00,,,2025-05-16 06:41Z,2025-05-16 08:41+02:00,,,,,,"Basic,Live",,,,,,,,,,,2025-05-16 08:15Z,2025-05-16 10:15+02:00,2025-05-16 07:49Z,2025-05-16 09:49+02:00,,,2025-05-16 07:49Z,2025-05-16 09:49+02:00,A,,,,27,"Basic,Live"
