direction,flight_number,call_sign,status,codeshare_status,is_cargo,airline_name,airline_iata,airline_icao,aircraft_reg,aircraft_modeS,aircraft_model,aircraft_image_url,aircraft_image_web_url,aircraft_image_author,aircraft_image_title,aircraft_image_description,aircraft_image_license,aircraft_image_html_attributions,departure_airport_name,departure_airport_iata,departure_airport_icao,departure_airport_local_code,departure_airport_short_name,departure_airport_municipality_name,departure_airport_lat,departure_airport_lon,departure_airport_country_code,departure_airport_time_zone,departure_scheduled_utc,departure_scheduled_local,departure_revised_utc,departure_revised_local,departure_predicted_utc,departure_predicted_local,departure_runway_utc,departure_runway_local,departure_terminal,departure_check_in_desk,departure_gate,departure_baggage_belt,departure_runway,departure_quality,arrival_airport_name,arrival_airport_iata,arrival_airport_icao,arrival_airport_local_code,arrival_airport_short_name,arrival_airport_municipality_name,arrival_airport_lat,arrival_airport_lon,arrival_airport_country_code,arrival_airport_time_zone,arrival_scheduled_utc,arrival_scheduled_local,arrival_revised_utc,arrival_revised_local,arrival_predicted_utc,arrival_predicted_local,arrival_runway_utc,arrival_runway_local,arrival_terminal,arrival_check_in_desk,arrival_gate,arrival_baggage_belt,arrival_runway,arrival_quality
arrival,W6 1094,WZZ948P,Approaching,IsOperator,False,Wizz Air,W6,WZZ,9H-WNC,4D2529,Airbus A321 NEO,,,,,,,,Dortmund,DTM,EDLW,,,,,,,Europe/Berlin,2025-05-08 13:50Z,2025-05-08 15:50+02:00,2025-05-08 14:12Z,2025-05-08 16:12+02:00,,,2025-05-08 14:12Z,2025-05-08 16:12+02:00,,,,,06,"Basic,Live",,,,,,,,,,,2025-05-08 15:25Z,2025-05-08 17:25+02:00,2025-05-08 15:19Z,2025-05-08 17:19+02:00,,,,,A,,,,,"Basic,Live"
arrival,W6 1046,WZZ60DA,Expected,IsOperator,False,Wizz Air,W6,WZZ,HA-LWM,471F54,Airbus A320,,,,,,,,Rome,FCO,LIRF,,,,,,,Europe/Rome,2025-05-08 13:20Z,2025-05-08 15:20+02:00,2025-05-08 13:57Z,2025-05-08 15:57+02:00,,,2025-05-08 13:57Z,2025-05-08 15:57+02:00,1,,,,25,"Basic,Live",,,,,,,,,,,2025-05-08 15:30Z,2025-05-08 17:30+02:00,,,,,,,A,,,,,Basic
arrival,LO 3885,LOT3885,Expected,IsOperator,False,LOT - Polish,LO,LOT,SP-LDH,489788,Embraer 175,,,,,,,,Warsaw,WAW,EPWA,,,,,,,Europe/Warsaw,2025-05-08 14:50Z,2025-05-08 16:50+02:00,2025-05-08 14:50Z,2025-05-08 16:50+02:00,,,,,E-D,241-280,2,,,"Basic,Live",,,,,,,,,,,2025-05-08 15:40Z,2025-05-08 17:40+02:00,,,,,,,C,,,,,Basic
arrival,FR 7101,RYR8ZF,Expected,IsOperator,False,Ryanair,FR,RYR,SP-RZE,48C2A4,Boeing 737-800,,,,,,,,Oslo,OSL,ENGM,,,,,,,Europe/Oslo,2025-05-08 13:50Z,2025-05-08 15:50+02:00,2025-05-08 13:55Z,2025-05-08 15:55+02:00,,,2025-05-08 14:10Z,2025-05-08 16:10+02:00,,12,E9,,,"Basic,Live",,,,,,,,,,,2025-05-08 15:55Z,2025-05-08 17:55+02:00,,,,,,,A,,,,,Basic
arrival,SPMPA,SPMPA,Approaching,IsOperator,False,SPMPA,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-08 15:56Z,2025-05-08 17:56+02:00,2025-05-08 15:56Z,2025-05-08 17:56+02:00,,,,,,,,,,"Basic,Live"
arrival,FR 3408,RYR79WE,Approaching,IsOperator,False,Ryanair,FR,RYR,EI-IHZ,4CAE4C,Boeing 737 MAX 8,,,,,,,,Bergamo,BGY,LIME,,,,,,,Europe/Rome,2025-05-08 14:55Z,2025-05-08 16:55+02:00,2025-05-08 15:22Z,2025-05-08 17:22+02:00,,,2025-05-08 15:22Z,2025-05-08 17:22+02:00,,,,,,"Basic,Live",,,,,,,,,,,2025-05-08 16:35Z,2025-05-08 18:35+02:00,2025-05-08 16:37Z,2025-05-08 18:37+02:00,,,,,A,,,,,"Basic,Live"
arrival,W6 1176,WZZ6457,Expected,IsOperator,False,Wizz Air,W6,WZZ,HA-LYF,471F81,Airbus A320,,,,,,,,Barcelona,BCN,LEBL,,,,,,,Europe/Madrid,2025-05-08 14:05Z,2025-05-08 16:05+02:00,2025-05-08 14:16Z,2025-05-08 16:16+02:00,,,2025-05-08 14:37Z,2025-05-08 16:37+02:00,2,B3-B7,S25,,,"Basic,Live",,,,,,,,,,,2025-05-08 16:55Z,2025-05-08 18:55+02:00,,,,,,,A,,,,,Basic
arrival,RK 5536,,Expected,Unknown,False,Ryanair UK,RK,RUK,,,Boeing 737,,,,,,,,London,STN,EGSS,,,,,,,Europe/London,2025-05-08 16:00Z,2025-05-08 17:00+01:00,2025-05-08 16:05Z,2025-05-08 17:05+01:00,,,,,1,,36,,,"Basic,Live",,,,,,,,,,,2025-05-08 18:10Z,2025-05-08 20:10+02:00,,,,,,,A,,,,,Basic
arrival,FR 5536,RYR75FA,Expected,IsOperator,False,Ryanair,FR,RYR,EI-DHN,4CA27A,Boeing 737,,,,,,,,London,STN,EGSS,,,,,,,Europe/London,2025-05-08 16:00Z,2025-05-08 17:00+01:00,2025-05-08 16:05Z,2025-05-08 17:05+01:00,,,2025-05-08 16:23Z,2025-05-08 17:23+01:00,1,,36,,04,"Basic,Live",,,,,,,,,,,2025-05-08 18:10Z,2025-05-08 20:10+02:00,,,,,,,A,,,,,Basic
arrival,FR 6404,RYR53AY,Arrived,IsOperator,False,Ryanair,FR,RYR,SP-RKI,48C128,Boeing 737-800,,,,,,,,Manchester,MAN,EGCC,,,,,,,Europe/London,2025-05-08 17:00Z,2025-05-08 18:00+01:00,2025-05-08 16:54Z,2025-05-08 17:54+01:00,,,2025-05-08 17:05Z,2025-05-08 18:05+01:00,3,,56,,05L,"Basic,Live",,,,,,,,,,,2025-05-08 19:25Z,2025-05-08 21:25+02:00,2025-05-08 19:09Z,2025-05-08 21:09+02:00,,,2025-05-08 19:09Z,2025-05-08 21:09+02:00,A,,,,09,"Basic,Live"
