direction,flight_number,call_sign,status,codeshare_status,is_cargo,airline_name,airline_iata,airline_icao,aircraft_reg,aircraft_modeS,aircraft_model,aircraft_image_url,aircraft_image_web_url,aircraft_image_author,aircraft_image_title,aircraft_image_description,aircraft_image_license,aircraft_image_html_attributions,departure_airport_name,departure_airport_iata,departure_airport_icao,departure_airport_local_code,departure_airport_short_name,departure_airport_municipality_name,departure_airport_lat,departure_airport_lon,departure_airport_country_code,departure_airport_time_zone,departure_scheduled_utc,departure_scheduled_local,departure_revised_utc,departure_revised_local,departure_predicted_utc,departure_predicted_local,departure_runway_utc,departure_runway_local,departure_terminal,departure_check_in_desk,departure_gate,departure_baggage_belt,departure_runway,departure_quality,arrival_airport_name,arrival_airport_iata,arrival_airport_icao,arrival_airport_local_code,arrival_airport_short_name,arrival_airport_municipality_name,arrival_airport_lat,arrival_airport_lon,arrival_airport_country_code,arrival_airport_time_zone,arrival_scheduled_utc,arrival_scheduled_local,arrival_revised_utc,arrival_revised_local,arrival_predicted_utc,arrival_predicted_local,arrival_runway_utc,arrival_runway_local,arrival_terminal,arrival_check_in_desk,arrival_gate,arrival_baggage_belt,arrival_runway,arrival_quality
departure,W6 1631,,GateClosed,IsOperator,False,Wizz Air,W6,WZZ,,,Airbus A320,,,,,,,,,,,,,,,,,,2025-05-12 07:50Z,2025-05-12 09:50+02:00,2025-05-12 08:01Z,2025-05-12 10:01+02:00,,,,,,,,,,"Basic,Live",Beauvais/Tillé,BVA,LFOB,,,,,,,Europe/Paris,2025-05-12 10:10Z,2025-05-12 12:10+02:00,,,,,,,,,,,,Basic
departure,SK 756,SAS756,Departed,IsOperator,False,SAS,SK,SAS,EI-HSE,4CAF14,Bombardier CRJ900,,,,,,,,,,,,,,,,,,2025-05-12 08:15Z,2025-05-12 10:15+02:00,2025-05-12 08:40Z,2025-05-12 10:40+02:00,,,,,,,,,,"Basic,Live",Copenhagen,CPH,EKCH,,,,,,,Europe/Copenhagen,2025-05-12 09:15Z,2025-05-12 11:15+02:00,2025-05-12 09:34Z,2025-05-12 11:34+02:00,,,,,3,,B3A,,22L,"Basic,Live"
departure,W6 1675,WZZ2JA,Departed,IsOperator,False,Wizz Air,W6,WZZ,HA-LTD,471EFD,Airbus A321,,,,,,,,,,,,,,,,,,2025-05-12 08:55Z,2025-05-12 10:55+02:00,2025-05-12 08:55Z,2025-05-12 10:55+02:00,,,2025-05-12 09:06Z,2025-05-12 11:06+02:00,,,,,,"Basic,Live",Hamburg,HAM,EDDH,,,,,,,Europe/Berlin,2025-05-12 10:15Z,2025-05-12 12:15+02:00,2025-05-12 10:08Z,2025-05-12 12:08+02:00,,,,,2,,,7,,"Basic,Live"
departure,FR 3277,,Departed,IsOperator,False,Ryanair,FR,RYR,,,Boeing 737-800,,,,,,,,,,,,,,,,,,2025-05-12 09:00Z,2025-05-12 11:00+02:00,2025-05-12 09:14Z,2025-05-12 11:14+02:00,,,,,,,,,,"Basic,Live",Torp,TRF,ENTO,,,,,,,Europe/Oslo,2025-05-12 10:30Z,2025-05-12 12:30+02:00,,,,,,,,,,,,Basic
departure,W6 1745,,Departed,IsOperator,False,Wizz Air,W6,WZZ,,,Airbus A321,,,,,,,,,,,,,,,,,,2025-05-12 09:15Z,2025-05-12 11:15+02:00,2025-05-12 09:22Z,2025-05-12 11:22+02:00,,,,,,,,,,"Basic,Live",Bergen,BGO,ENBR,,,,,,,Europe/Oslo,2025-05-12 11:10Z,2025-05-12 13:10+02:00,2025-05-12 10:58Z,2025-05-12 12:58+02:00,,,,,,,,2,,"Basic,Live"
departure,FR 8677,,Departed,IsOperator,False,Ryanair,FR,RYR,,,Boeing 737-800,,,,,,,,,,,,,,,,,,2025-05-12 08:55Z,2025-05-12 10:55+02:00,2025-05-12 09:25Z,2025-05-12 11:25+02:00,,,,,,,,,,"Basic,Live",Zadar,ZAD,LDZD,,,,,,,Europe/Zagreb,2025-05-12 11:00Z,2025-05-12 13:00+02:00,,,,,,,,,,,,Basic
departure,FR 6844,RYR6844,Departed,IsOperator,False,Ryanair,FR,RYR,SP-RKO,48C12E,Boeing 737-800,,,,,,,,,,,,,,,,,,2025-05-12 09:30Z,2025-05-12 11:30+02:00,2025-05-12 09:38Z,2025-05-12 11:38+02:00,,,,,,,,,,"Basic,Live",Copenhagen,CPH,EKCH,,,,,,,Europe/Copenhagen,2025-05-12 10:40Z,2025-05-12 12:40+02:00,2025-05-12 10:32Z,2025-05-12 12:32+02:00,,,,,3,,F6A,,,"Basic,Live"
departure,FR 4106,RYR7HZ,Departed,IsOperator,False,Ryanair,FR,RYR,SP-RSZ,48C235,Boeing 737-800,,,,,,,,,,,,,,,,,,2025-05-12 09:55Z,2025-05-12 11:55+02:00,2025-05-12 09:55Z,2025-05-12 11:55+02:00,,,,,,,,,,"Basic,Live",Wrocław,WRO,EPWR,,,,,,,Europe/Warsaw,2025-05-12 11:00Z,2025-05-12 13:00+02:00,2025-05-12 10:56Z,2025-05-12 12:56+02:00,,,2025-05-12 10:56Z,2025-05-12 12:56+02:00,,,,,11,"Basic,Live"
departure,AY 1176,FIN2EZ,Departed,IsOperator,False,Finnair,AY,FIN,OH-ATG,4601F4,ATR 72,,,,,,,,,,,,,,,,,,2025-05-12 09:55Z,2025-05-12 11:55+02:00,2025-05-12 09:55Z,2025-05-12 11:55+02:00,,,,,,,,,,"Basic,Live",Helsinki,HEL,EFHK,,,,,,,Europe/Helsinki,2025-05-12 12:05Z,2025-05-12 15:05+03:00,2025-05-12 12:15Z,2025-05-12 15:15+03:00,,,,,,,9,11,,"Basic,Live"
departure,LO 3836,,Departed,IsOperator,False,LOT - Polish,LO,LOT,,,Embraer 190,,,,,,,,,,,,,,,,,,2025-05-12 10:00Z,2025-05-12 12:00+02:00,2025-05-12 10:00Z,2025-05-12 12:00+02:00,,,,,,,,,,"Basic,Live",Warsaw,WAW,EPWA,,,,,,,Europe/Warsaw,2025-05-12 11:00Z,2025-05-12 13:00+02:00,2025-05-12 10:55Z,2025-05-12 12:55+02:00,,,,,,,,7,,"Basic,Live"
departure,LO 3836,,Departed,IsOperator,False,LOT - Polish,LO,LOT,,,Embraer 190,,,,,,,,,,,,,,,,,,2025-05-12 10:00Z,2025-05-12 12:00+02:00,2025-05-12 10:00Z,2025-05-12 12:00+02:00,,,,,,,,,,"Basic,Live",Warsaw,WAW,EPWA,,,,,,,Europe/Warsaw,2025-05-12 11:00Z,2025-05-12 13:00+02:00,2025-05-12 10:55Z,2025-05-12 12:55+02:00,,,,,,,,7,,"Basic,Live"
departure,KL 1304,,Departed,IsOperator,False,KLM,KL,KLM,,,Embraer 175,,,,,,,,,,,,,,,,,,2025-05-12 09:50Z,2025-05-12 11:50+02:00,2025-05-12 10:04Z,2025-05-12 12:04+02:00,,,,,,,,,,"Basic,Live",Amsterdam,AMS,EHAM,,,,,,,Europe/Amsterdam,2025-05-12 11:40Z,2025-05-12 13:40+02:00,2025-05-12 11:25Z,2025-05-12 13:25+02:00,,,2025-05-12 11:25Z,2025-05-12 13:25+02:00,2,,,10,,"Basic,Live"
departure,DY 1031,NOZ1YK,Departed,IsOperator,False,Norwegian Air Shuttle,DY,NOZ,LN-ENM,47A50D,Boeing 737-800,,,,,,,,,,,,,,,,,,2025-05-12 10:50Z,2025-05-12 12:50+02:00,2025-05-12 10:45Z,2025-05-12 12:45+02:00,,,,,,,,,,"Basic,Live",Bergen,BGO,ENBR,,,,,,,Europe/Oslo,2025-05-12 12:40Z,2025-05-12 14:40+02:00,2025-05-12 12:19Z,2025-05-12 14:19+02:00,,,2025-05-12 12:19Z,2025-05-12 14:19+02:00,,,,2,17,"Basic,Live"
departure,DY 1053,NOZ1053,Departed,IsOperator,False,Norwegian Air Shuttle,DY,NOZ,LN-DYU,478772,Boeing 737,,,,,,,,,,,,,,,,,,2025-05-12 11:05Z,2025-05-12 13:05+02:00,2025-05-12 11:05Z,2025-05-12 13:05+02:00,,,,,,,,,,"Basic,Live",Oslo,OSL,ENGM,,,,,,,Europe/Oslo,2025-05-12 12:35Z,2025-05-12 14:35+02:00,2025-05-12 12:27Z,2025-05-12 14:27+02:00,,,2025-05-12 12:26Z,2025-05-12 14:26+02:00,,,,8,19L,"Basic,Live"
departure,W6 1741,,Departed,IsOperator,False,Wizz Air,W6,WZZ,,,Airbus A321,,,,,,,,,,,,,,,,,,2025-05-12 10:25Z,2025-05-12 12:25+02:00,2025-05-12 11:10Z,2025-05-12 13:10+02:00,,,,,,,,,,"Basic,Live",Copenhagen,CPH,EKCH,,,,,,,Europe/Copenhagen,2025-05-12 11:40Z,2025-05-12 13:40+02:00,2025-05-12 11:58Z,2025-05-12 13:58+02:00,,,,,3,,F6A,,,"Basic,Live"
departure,FR 9922,RYR76WX,Departed,IsOperator,False,Ryanair,FR,RYR,EI-IHJ,4CADF5,Boeing 737 MAX 8,,,,,,,,,,,,,,,,,,2025-05-12 10:45Z,2025-05-12 12:45+02:00,2025-05-12 11:32Z,2025-05-12 13:32+02:00,,,2025-05-12 11:35Z,2025-05-12 13:35+02:00,,,,,,"Basic,Live",Roma,CIA,LIRA,,,,,,,Europe/Rome,2025-05-12 13:15Z,2025-05-12 15:15+02:00,2025-05-12 13:38Z,2025-05-12 15:38+02:00,,,,,,,,,,"Basic,Live"
departure,LH 1643,DLH3FF,Departed,IsOperator,False,Lufthansa,LH,DLH,D-ACNJ,3C4DCA,Canadair CRJ 900NG,,,,,,,,,,,,,,,,,,2025-05-12 11:10Z,2025-05-12 13:10+02:00,2025-05-12 11:44Z,2025-05-12 13:44+02:00,,,2025-05-12 11:48Z,2025-05-12 13:48+02:00,,,,,,"Basic,Live",Munich,MUC,EDDM,,,,,,,Europe/Berlin,2025-05-12 12:45Z,2025-05-12 14:45+02:00,2025-05-12 12:55Z,2025-05-12 14:55+02:00,,,,,2,,,,,"Basic,Live"
departure,KL 1306,,Departed,IsOperator,False,KLM,KL,KLM,,,Embraer 175,,,,,,,,,,,,,,,,,,2025-05-12 12:20Z,2025-05-12 14:20+02:00,2025-05-12 12:20Z,2025-05-12 14:20+02:00,,,,,,,,,,"Basic,Live",Amsterdam,AMS,EHAM,,,,,,,Europe/Amsterdam,2025-05-12 14:10Z,2025-05-12 16:10+02:00,2025-05-12 13:52Z,2025-05-12 15:52+02:00,,,2025-05-12 13:52Z,2025-05-12 15:52+02:00,2,,,10,,"Basic,Live"
departure,FR 1504,RYR67NZ,Departed,IsOperator,False,Ryanair,FR,RYR,SP-RKQ,48C139,Boeing 737-800,,,,,,,,,,,,,,,,,,2025-05-12 12:15Z,2025-05-12 14:15+02:00,2025-05-12 12:26Z,2025-05-12 14:26+02:00,,,,,,,,,,"Basic,Live",Leeds,LBA,EGNM,,,,,,,Europe/London,2025-05-12 14:35Z,2025-05-12 15:35+01:00,2025-05-12 14:19Z,2025-05-12 15:19+01:00,,,,,,,,,,"Basic,Live"
