direction,flight_number,call_sign,status,codeshare_status,is_cargo,airline_name,airline_iata,airline_icao,aircraft_reg,aircraft_modeS,aircraft_model,aircraft_image_url,aircraft_image_web_url,aircraft_image_author,aircraft_image_title,aircraft_image_description,aircraft_image_license,aircraft_image_html_attributions,departure_airport_name,departure_airport_iata,departure_airport_icao,departure_airport_local_code,departure_airport_short_name,departure_airport_municipality_name,departure_airport_lat,departure_airport_lon,departure_airport_country_code,departure_airport_time_zone,departure_scheduled_utc,departure_scheduled_local,departure_revised_utc,departure_revised_local,departure_predicted_utc,departure_predicted_local,departure_runway_utc,departure_runway_local,departure_terminal,departure_check_in_desk,departure_gate,departure_baggage_belt,departure_runway,departure_quality,arrival_airport_name,arrival_airport_iata,arrival_airport_icao,arrival_airport_local_code,arrival_airport_short_name,arrival_airport_municipality_name,arrival_airport_lat,arrival_airport_lon,arrival_airport_country_code,arrival_airport_time_zone,arrival_scheduled_utc,arrival_scheduled_local,arrival_revised_utc,arrival_revised_local,arrival_predicted_utc,arrival_predicted_local,arrival_runway_utc,arrival_runway_local,arrival_terminal,arrival_check_in_desk,arrival_gate,arrival_baggage_belt,arrival_runway,arrival_quality
departure,W6 1175,WZZ2JK,Departed,IsOperator,False,Wizz Air,W6,WZZ,9H-WBO,4D247A,Airbus A320,,,,,,,,,,,,,,,,,,2025-05-04 10:30Z,2025-05-04 12:30+02:00,2025-05-04 11:21Z,2025-05-04 13:21+02:00,,,2025-05-04 11:21Z,2025-05-04 13:21+02:00,A,,,,27,"Basic,Live",Barcelona,BCN,LEBL,,,,,,,Europe/Madrid,2025-05-04 13:20Z,2025-05-04 15:20+02:00,2025-05-04 13:54Z,2025-05-04 15:54+02:00,,,,,2,,,,,"Basic,Live"
departure,EN 8761,DLA8HR,Departed,IsOperator,False,Air Dolomiti,EN,DLA,I-JENK,3007F8,Embraer 190,,,,,,,,,,,,,,,,,,2025-05-04 12:55Z,2025-05-04 14:55+02:00,2025-05-04 12:58Z,2025-05-04 14:58+02:00,,,2025-05-04 12:58Z,2025-05-04 14:58+02:00,,,,,,"Basic,Live",Frankfurt-am-Main,FRA,EDDF,,,,,,,Europe/Berlin,2025-05-04 14:35Z,2025-05-04 16:35+02:00,2025-05-04 14:29Z,2025-05-04 16:29+02:00,,,,,1,,A2,,07R,"Basic,Live"
departure,LO 3884,LOT4KH,Departed,IsOperator,False,LOT - Polish,LO,LOT,SP-LDI,489789,Embraer 170,,,,,,,,,,,,,,,,,,2025-05-04 12:55Z,2025-05-04 14:55+02:00,2025-05-04 13:20Z,2025-05-04 15:20+02:00,,,2025-05-04 13:20Z,2025-05-04 15:20+02:00,B,,,,27,"Basic,Live",Warsaw,WAW,EPWA,,,,,,,Europe/Warsaw,2025-05-04 13:45Z,2025-05-04 15:45+02:00,2025-05-04 13:55Z,2025-05-04 15:55+02:00,,,2025-05-04 13:48Z,2025-05-04 15:48+02:00,,,,4,33,"Basic,Live"
departure,QU 9177,UTN9177,Departed,IsOperator,False,Azur Air Ukraine,QU,UTN,UR-SLE,5084D1,Boeing 757-300,,,,,,,,,,,,,,,,,,2025-05-04 13:59Z,2025-05-04 15:59+02:00,2025-05-04 13:59Z,2025-05-04 15:59+02:00,,,2025-05-04 13:59Z,2025-05-04 15:59+02:00,,,,,27,"Basic,Live",Marsa Alam,RMF,HEMA,,,,,,,Africa/Cairo,,,,,,,,,,,,,,
departure,W6 1093,WZZ61JH,Departed,IsOperator,False,Wizz Air,W6,WZZ,HA-LYK,471F86,Airbus A320,,,,,,,,,,,,,,,,,,2025-05-04 14:00Z,2025-05-04 16:00+02:00,2025-05-04 14:02Z,2025-05-04 16:02+02:00,,,2025-05-04 14:02Z,2025-05-04 16:02+02:00,A,,,,27,"Basic,Live",Dortmund,DTM,EDLW,,,,,,,Europe/Berlin,2025-05-04 15:45Z,2025-05-04 17:45+02:00,2025-05-04 15:20Z,2025-05-04 17:20+02:00,,,,,,,,,,"Basic,Live"
departure,FR 3596,RYR45RM,Departed,IsOperator,False,Ryanair,FR,RYR,SP-RZV,48C2B8,Boeing 737 MAX 8,,,,,,,,,,,,,,,,,,2025-05-04 14:20Z,2025-05-04 16:20+02:00,2025-05-04 14:33Z,2025-05-04 16:33+02:00,,,2025-05-04 14:33Z,2025-05-04 16:33+02:00,A,,,,27,"Basic,Live",Alicante,ALC,LEAL,,,,,,,Europe/Madrid,2025-05-04 17:40Z,2025-05-04 19:40+02:00,2025-05-04 17:41Z,2025-05-04 19:41+02:00,,,,,N,,,,,"Basic,Live"
departure,FR 5347,RYR994N,Departed,IsOperator,False,Ryanair,FR,RYR,SP-RSK,48C229,Boeing 737-800,,,,,,,,,,,,,,,,,,2025-05-04 15:00Z,2025-05-04 17:00+02:00,2025-05-04 15:07Z,2025-05-04 17:07+02:00,,,2025-05-04 15:07Z,2025-05-04 17:07+02:00,A,,,,27,"Basic,Live",Dublin,DUB,EIDW,,,,,,,Europe/Dublin,2025-05-04 17:55Z,2025-05-04 18:55+01:00,,,,,,,1,,,,,Basic
departure,SPGBS,SPGBS,Departed,IsOperator,False,Unknown/Private owner,,,SP-GBS,489831,Czech PS-28 Cruiser,,,,,,,,,,,,,,,,,,2025-05-04 15:15Z,2025-05-04 17:15+02:00,2025-05-04 15:15Z,2025-05-04 17:15+02:00,,,2025-05-04 15:15Z,2025-05-04 17:15+02:00,,,,,,"Basic,Live",Unknown,,,,,,,,,,,,,,,,,,,,,,,
departure,FR 2472,RYR34WW,Departed,IsOperator,False,Ryanair,FR,RYR,SP-RKL,48C12B,Boeing 737-800,,,,,,,,,,,,,,,,,,2025-05-04 15:40Z,2025-05-04 17:40+02:00,2025-05-04 15:44Z,2025-05-04 17:44+02:00,,,2025-05-04 15:44Z,2025-05-04 17:44+02:00,A,,,,27,"Basic,Live",London,STN,EGSS,,,,,,,Europe/London,2025-05-04 18:00Z,2025-05-04 19:00+01:00,2025-05-04 17:51Z,2025-05-04 18:51+01:00,,,,,1,,87,,,"Basic,Live"
departure,E4 94ZA,ENT1675,Departed,IsOperator,False,Enter Air,E4,ENT,SP-EXH,4892C7,Boeing 737 MAX 8,,,,,,,,,,,,,,,,,,2025-05-04 16:02Z,2025-05-04 18:02+02:00,2025-05-04 16:02Z,2025-05-04 18:02+02:00,,,2025-05-04 16:02Z,2025-05-04 18:02+02:00,,,,,27,"Basic,Live",Unknown,,,,,,,,,,,,,,,,,,,,,,,
