flight_number,call_sign,status,airline_name,airline_iata,airline_icao,aircraft_reg,aircraft_model,departure_airport_name,departure_airport_iata,departure_airport_icao,departure_timezone,departure_datetime,departure_datetime_revised,arrival_airport_name,arrival_airport_iata,arrival_airport_icao,arrival_timezone,arrival_datetime,arrival_datetime_revised
FH 760,FHY760,Departed,Freebird,FH,FHY,TC-FHM,Airbus A320,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-04 16:10:00,2025-05-04 16:10:00,Antalya,AYT,LTAI,Europe/Istanbul,,
LO 3924,,Departed,LOT - Polish,LO,LOT,,Embraer 175,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-04 16:25:00,2025-05-04 16:25:00,Warsaw,WAW,EPWA,Europe/Warsaw,2025-05-04 17:15:00,2025-05-04 17:25:00
FR 6964,RYR6964,Departed,Ryanair,FR,RYR,SP-RZP,Boeing 737 MAX 8,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-04 16:40:00,2025-05-04 16:40:00,Kerkyra Island,CFU,LGKR,Europe/Athens,2025-05-04 18:45:00,
W6 2061,WZZ6720,Departed,Wizz Air,W6,WZZ,9H-WNN,Airbus A321 NEO,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-04 16:40:00,2025-05-04 16:40:00,Rome,FCO,LIRF,Europe/Rome,2025-05-04 18:45:00,2025-05-04 18:42:00
PC 1503,PGT3BE,Departed,Pegasus,PC,PGT,TC-NCT,Airbus A320 NEO,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-04 16:50:00,2025-05-04 16:50:00,Antalya,AYT,LTAI,Europe/Istanbul,2025-05-04 19:35:00,
KL 1330,KLM1330,Departed,KLM,KL,KLM,PH-EXM,Embraer 175,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-04 17:00:00,2025-05-04 17:00:00,Amsterdam,AMS,EHAM,Europe/Amsterdam,2025-05-04 19:00:00,2025-05-04 19:15:00
FR 7940,RYR79YV,Departed,Ryanair,FR,RYR,EI-DHD,Boeing 737,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-04 17:20:00,2025-05-04 17:20:00,Pisa,PSA,LIRP,Europe/Rome,2025-05-04 19:20:00,
LH 1369,DLH1KE,Departed,Lufthansa,LH,DLH,D-AIRA,Airbus A321,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-04 17:20:00,2025-05-04 17:20:00,Frankfurt-am-Main,FRA,EDDF,Europe/Berlin,2025-05-04 19:00:00,2025-05-04 19:10:00
FR 5524,RYR59SF,Departed,Ryanair,FR,RYR,SP-RZK,Boeing 737 MAX 8,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-04 17:20:00,2025-05-04 17:20:00,Bournemouth,BOH,EGHH,Europe/London,2025-05-04 20:00:00,2025-05-04 19:43:00
W6 2091,WZZ86RL,Departed,Wizz Air,W6,WZZ,HA-LXV,Airbus A320,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-03 16:55:00,2025-05-04 17:35:00,Lyon,LYS,LFLL,Europe/Paris,,
