flight_number,call_sign,status,airline_name,airline_iata,airline_icao,aircraft_reg,aircraft_model,departure_airport_name,departure_airport_iata,departure_airport_icao,departure_timezone,departure_datetime,departure_datetime_revised,arrival_airport_name,arrival_airport_iata,arrival_airport_icao,arrival_timezone,arrival_datetime,arrival_datetime_revised
FR 2228,RYR8447,Arrived,Ryanair,FR,RYR,SP-RZE,Boeing 737,Valencia,VLC,LEVC,Europe/Madrid,2025-04-29 18:20:00,2025-04-29 18:24:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-29 21:20:00,2025-04-30 21:23:00
W6 2068,WZZ976,Arrived,Wizz Air,W6,WZZ,9H-WNJ,Airbus A321 NEO,Milan,MXP,LIMC,Europe/Rome,2025-04-29 20:00:00,2025-04-29 20:18:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-29 21:55:00,2025-04-30 21:48:00
W6 2092,WZZ677,Arrived,Wizz Air,W6,WZZ,HA-LXV,Airbus A320,Lyon,LYS,LFLL,Europe/Paris,2025-04-29 19:45:00,2025-04-29 19:55:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-29 21:55:00,2025-04-30 21:55:00
FR 6783,RYR4LX,Arrived,Ryanair,FR,RYR,SP-RKO,Boeing 737-800,Trieste,TRS,LIPQ,Europe/Rome,2025-04-29 21:00:00,2025-04-29 21:00:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-29 22:30:00,2025-04-30 22:08:00
FR 2778,,Arrived,Ryanair,FR,RYR,,Boeing 737-800,Thessaloniki,SKG,LGTS,Europe/Athens,2025-04-29 20:55:00,,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-29 22:55:00,2025-04-30 22:31:00
FR 2725,RYR2AM,Arrived,Ryanair,FR,RYR,SP-RSD,Boeing 737,Copenhagen,CPH,EKCH,Europe/Copenhagen,2025-04-30 20:35:00,2025-04-30 20:35:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-30 22:10:00,2025-04-30 22:36:00
FR 2965,RYR7LY,Arrived,Ryanair,FR,RYR,SP-RZS,Boeing 737,Bari,BRI,LIBD,Europe/Rome,2025-04-29 21:00:00,,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-29 22:50:00,2025-04-30 22:41:00
FR 888,RYR6RX,Arrived,Ryanair,FR,RYR,SP-RZP,Boeing 737-800,Bergamo,BGY,LIME,Europe/Rome,2025-04-29 21:00:00,2025-04-29 21:28:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-29 22:45:00,2025-04-30 22:46:00
FR 4626,RYR1T,Arrived,Ryanair,FR,RYR,SP-RSH,Boeing 737-800,Stockholm,ARN,ESSA,Europe/Stockholm,2025-04-29 20:50:00,2025-04-29 21:06:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-29 22:45:00,2025-04-30 22:49:00
FR 6233,RYR344D,Arrived,Ryanair,FR,RYR,SP-RZH,Boeing 737,Palermo,PMO,LICJ,Europe/Rome,2025-04-29 20:30:00,,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-29 22:50:00,2025-04-30 22:53:00
FR 4626,RYR1T,Arrived,Ryanair,FR,RYR,9H-QBH,Boeing 737-800,Stockholm,ARN,ESSA,Europe/Stockholm,2025-04-30 03:55:00,2025-04-30 03:44:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-30 05:50:00,2025-05-01 05:22:00
FR 2762,RYR2762,Arrived,Ryanair,FR,RYR,EI-EBR,Boeing 737-800,Copenhagen,CPH,EKCH,Europe/Copenhagen,2025-04-30 04:55:00,2025-04-30 04:55:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-30 06:30:00,2025-05-01 06:06:00
FR 1470,RYR6XZ,Arrived,Ryanair,FR,RYR,EI-IKC,Boeing 737,Roma,CIA,LIRA,Europe/Rome,2025-04-30 04:30:00,2025-04-30 04:30:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-30 06:25:00,2025-05-01 06:10:00
FR 3698,RYR32UE,Arrived,Ryanair,FR,RYR,EI-EVX,Boeing 737,Beauvais/Tillé,BVA,LFOB,Europe/Paris,2025-04-30 04:30:00,2025-04-30 04:37:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-30 06:40:00,2025-05-01 06:28:00
TK 1271,THY1271,Arrived,Turkish,TK,THY,TC-JZE,Boeing 737-900,Istanbul,IST,LTFM,Europe/Istanbul,2025-04-30 04:30:00,2025-04-30 04:30:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-30 06:45:00,2025-05-01 06:31:00
FR 2228,RYR8447,Arrived,Ryanair,FR,RYR,EI-EVG,Boeing 737-800,Valencia,VLC,LEVC,Europe/Madrid,2025-04-30 03:50:00,2025-04-30 03:49:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-30 06:50:00,2025-05-01 06:39:00
LX 1370,SWR961M,Arrived,SWISS,LX,SWR,HB-AZL,Embraer 195,Zurich,ZRH,LSZH,Europe/Zurich,2025-04-30 04:55:00,2025-04-30 05:19:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-30 06:35:00,2025-05-01 06:42:00
DY 1028,NOZ28V,Arrived,Norwegian Air Shuttle,DY,NOZ,LN-ENT,Boeing 737-800,Bergen,BGO,ENBR,Europe/Oslo,2025-04-30 05:00:00,2025-04-30 04:55:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-30 07:20:00,2025-05-01 06:50:00
FR 4934,RYR97RG,Arrived,Ryanair,FR,RYR,9H-QBE,Boeing 737-800,Brussels,CRL,EBCI,Europe/Brussels,2025-04-30 05:20:00,2025-04-30 05:24:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-30 07:20:00,2025-05-01 07:00:00
FR 9950,RYR24LY,Arrived,Ryanair,FR,RYR,9H-QEL,Boeing 737-800,Toulouse-Blagnac,TLS,LFBO,Europe/Paris,2025-04-30 05:25:00,2025-04-30 05:34:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-30 07:55:00,2025-05-01 07:48:00
FR 2783,,Arrived,Ryanair,FR,RYR,,Boeing 737-800,Rimini,RMI,LIPR,Europe/Rome,2025-04-30 06:40:00,,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-30 08:20:00,2025-05-01 08:13:00
FR 3535,RYR73YA,Arrived,Ryanair,FR,RYR,SP-RKO,Boeing 737,Bergamo,BGY,LIME,Europe/Rome,2025-04-30 07:20:00,2025-04-30 07:25:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-30 09:05:00,2025-05-01 08:48:00
FR 1465,RYR69EC,Arrived,Ryanair,FR,RYR,SP-RZH,Boeing 737-800,Birmingham,BHX,EGBB,Europe/London,2025-04-30 06:45:00,2025-04-30 06:59:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-30 09:10:00,2025-05-01 09:02:00
FR 4462,RYR4462,Departed,Ryanair,FR,RYR,9H-QEM,Boeing 737-800,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-29 21:10:00,2025-04-30 21:25:00,Milan,MXP,LIMC,Europe/Rome,,
W6 2047,WZZ3081,Departed,Wizz Air,W6,WZZ,9H-WNJ,Airbus A321 NEO,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-01 03:30:00,2025-05-01 03:30:00,Barcelona,BCN,LEBL,Europe/Madrid,2025-05-01 06:05:00,2025-05-01 06:30:00
W6 2097,WZZ8416,Departed,Wizz Air,W6,WZZ,HA-LXV,Airbus A321,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-01 03:35:00,2025-05-01 03:35:00,Tel Aviv Yafo,TLV,LLBG,Asia/Jerusalem,2025-05-01 07:10:00,2025-05-01 06:56:00
LO 3910,LOT3910,Departed,LOT - Polish,LO,LOT,SP-LEC,Embraer 195,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-01 03:40:00,2025-05-01 03:40:00,Warsaw,WAW,EPWA,Europe/Warsaw,2025-05-01 04:30:00,2025-05-01 04:20:00
FR 2611,RYR3AN,Departed,Ryanair,FR,RYR,SP-RKC,Boeing 737-800,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-01 03:45:00,2025-05-01 03:45:00,Athens,ATH,LGAV,Europe/Athens,2025-05-01 06:05:00,2025-05-01 05:58:00
FR 6355,RYR8MT,Departed,Ryanair,FR,RYR,SP-RZH,Boeing 737,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-01 03:45:00,2025-05-01 03:45:00,Alicante,ALC,LEAL,Europe/Madrid,2025-05-01 06:55:00,2025-05-01 06:48:00
FR 2435,RYR49FR,Departed,Ryanair,FR,RYR,SP-RZE,Boeing 737 MAX 8,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-01 03:45:00,2025-05-01 03:45:00,London,STN,EGSS,Europe/London,2025-05-01 06:10:00,2025-05-01 06:02:00
FR 4512,RYR38XT,Departed,Ryanair,FR,RYR,EI-IJN,Boeing 737 MAX 8,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-01 03:50:00,2025-05-01 03:50:00,Palma De Mallorca,PMI,LEPA,Europe/Madrid,2025-05-01 06:45:00,2025-05-01 06:30:00
W6 2001,WZZ1GP,Departed,Wizz Air,W6,WZZ,9H-WNE,Airbus A321 NEO,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-01 04:00:00,2025-05-01 04:00:00,London,LTN,EGGW,Europe/London,2025-05-01 06:35:00,2025-05-01 06:35:00
LH 1627,DLH1YY,Departed,Lufthansa,LH,DLH,D-AISP,Airbus A321,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-01 04:00:00,2025-05-01 04:00:00,Munich,MUC,EDDM,Europe/Berlin,2025-05-01 05:20:00,2025-05-01 05:20:00
LH 1371,DLH7VT,Departed,Lufthansa,LH,DLH,D-AIJD,Airbus A320,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-01 04:10:00,2025-05-01 04:10:00,Frankfurt-am-Main,FRA,EDDF,Europe/Berlin,2025-05-01 05:50:00,2025-05-01 05:42:00
FR 7226,RYR7226,Departed,Ryanair,FR,RYR,SP-RZI,Boeing 737 MAX 8,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-01 04:15:00,2025-05-01 04:15:00,Thessaloniki,SKG,LGTS,Europe/Athens,2025-05-01 06:10:00,
W6 2059,WZZ396,Departed,Wizz Air,W6,WZZ,HA-LZM,Airbus A321 NEO,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-01 04:20:00,2025-05-01 04:20:00,Bologna,BLQ,LIPE,Europe/Rome,2025-05-01 06:10:00,2025-05-01 05:38:00
FR 5145,RYR67WT,Departed,Ryanair,FR,RYR,SP-RSK,Boeing 737-800,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-01 04:30:00,2025-05-01 04:30:00,Lamezia Terme,SUF,LICA,Europe/Rome,2025-05-01 06:45:00,
KL 1322,KLM1322,Departed,KLM,KL,KLM,PH-NXM,Embraer 195,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-01 04:35:00,2025-05-01 04:35:00,Amsterdam,AMS,EHAM,Europe/Amsterdam,2025-05-01 06:35:00,2025-05-01 06:36:00
FR 6216,RYR2FJ,Departed,Ryanair,FR,RYR,SP-RSD,Boeing 737-800,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-01 04:40:00,2025-05-01 04:40:00,Torp,TRF,ENTO,Europe/Oslo,2025-05-01 06:40:00,
OS 600,AUA600,Departed,Austrian,OS,AUA,SE-MKI,ATR 72,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-01 04:45:00,2025-05-01 04:45:00,Vienna,VIE,LOWW,Europe/Vienna,2025-05-01 06:05:00,2025-05-01 05:56:00
LO 139,LOT7LZ,Departed,LOT - Polish,LO,LOT,SP-LVF,Boeing 737,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-01 05:00:00,2025-05-01 05:00:00,Istanbul,IST,LTFM,Europe/Istanbul,2025-05-01 07:30:00,2025-05-01 07:00:00
FR 2380,RYR238Y,Departed,Ryanair,FR,RYR,SP-RZK,Boeing 737 MAX 8,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-01 05:00:00,2025-05-01 05:00:00,Perugia,PEG,LIRZ,Europe/Rome,2025-05-01 06:50:00,
FR 2333,RYR93QV,Departed,Ryanair,FR,RYR,SP-RZB,Boeing 737,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-01 05:00:00,2025-05-01 05:00:00,Leeds,LBA,EGNM,Europe/London,2025-05-01 07:30:00,2025-05-01 07:02:00
FR 4426,RYR1YC,Departed,Ryanair,FR,RYR,SP-RZO,Boeing 737 MAX 8,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-01 05:15:00,2025-05-01 05:15:00,Cagliari,CAG,LIEE,Europe/Rome,2025-05-01 07:40:00,
XQ 433,SXS5R,Departed,Sun Express,XQ,SXS,TC-SPZ,Boeing 737-800,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-01 05:55:00,2025-05-01 05:55:00,Antalya,AYT,LTAI,Europe/Istanbul,2025-05-01 08:40:00,
FR 3505,RYR66YY,Departed,Ryanair,FR,RYR,9H-QDZ,Boeing 737-800,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-01 06:10:00,2025-05-01 06:10:00,Bergamo,BGY,LIME,Europe/Rome,2025-05-01 07:55:00,2025-05-01 07:36:00
FR 3435,RYR90WR,Departed,Ryanair,FR,RYR,SP-RSH,Boeing 737-800,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-01 06:10:00,2025-05-01 06:10:00,Beauvais/Tillé,BVA,LFOB,Europe/Paris,2025-05-01 08:20:00,
FR 946,RYR946,Departed,Ryanair,FR,RYR,9H-LOB,Airbus A320,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-01 06:45:00,2025-05-01 06:45:00,Vienna,VIE,LOWW,Europe/Vienna,2025-05-01 07:55:00,2025-05-01 07:41:00
W6 2051,WZZ1YD,Departed,Wizz Air,W6,WZZ,HA-LXH,Airbus A321,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-01 06:50:00,2025-05-01 06:50:00,Larnarca,LCA,LCLK,Asia/Nicosia,2025-05-01 10:00:00,
LO 3904,LOT3904,Departed,LOT - Polish,LO,LOT,SP-LWF,Boeing 737-800,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-01 06:50:00,2025-05-01 06:50:00,Warsaw,WAW,EPWA,Europe/Warsaw,2025-05-01 07:40:00,2025-05-01 07:45:00
AY 1162,FIN9DZ,Departed,Finnair,AY,FIN,OH-LKE,Embraer 190,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-01 06:55:00,2025-05-01 06:55:00,Helsinki,HEL,EFHK,Europe/Helsinki,2025-05-01 08:50:00,2025-05-01 08:39:00
D8 3806,NSZ3806,Departed,Norwegian Air Sweden,D8,NSZ,SE-RPS,Boeing 737-800,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-01 07:10:00,2025-05-01 07:10:00,Stockholm,ARN,ESSA,Europe/Stockholm,2025-05-01 09:00:00,2025-05-01 08:55:00
FR 1725,RYR91JG,Departed,Ryanair,FR,RYR,9H-QDK,Boeing 737-800,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-01 07:35:00,2025-05-01 07:35:00,Nottingham,EMA,EGNX,Europe/London,2025-05-01 10:10:00,2025-05-01 10:17:00
LH 1621,DLH3CJ,Departed,Lufthansa,LH,DLH,D-AILP,Airbus A319,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-01 07:35:00,2025-05-01 07:35:00,Munich,MUC,EDDM,Europe/Berlin,2025-05-01 08:55:00,2025-05-01 08:55:00
U2 4668,EJU76TJ,Departed,easyJet,U2,EZY,OE-IVA,Airbus A320,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-01 07:50:00,2025-05-01 07:50:00,Paris,CDG,LFPG,Europe/Paris,2025-05-01 10:10:00,2025-05-01 09:32:00
EC 4668,EJU76TJ,Departed,EasyJet Europe,EC,EJU,OE-IVA,Airbus A320,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-01 07:50:00,2025-05-01 07:50:00,Paris,CDG,LFPG,Europe/Paris,2025-05-01 10:10:00,2025-05-01 09:32:00
GAC 542Q,GAC542Q,Departed,GlobalAir,,GAC,OE-FZB,Cessna 510 Citation Mustang,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-01 08:07:00,2025-05-01 08:07:00,,,,,,
SK 1736,SAS69B,Departed,SAS,SK,SAS,SE-RSK,Embraer 195,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-01 08:10:00,2025-05-01 08:10:00,Copenhagen,CPH,EKCH,Europe/Copenhagen,2025-05-01 09:40:00,2025-05-01 09:36:00
FR 6359,RYR15QT,Departed,Ryanair,FR,RYR,EI-HMT,Boeing 737 MAX 8,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-01 08:15:00,2025-05-01 08:15:00,Liverpool,LPL,EGGP,Europe/London,2025-05-01 11:00:00,
FR 83,RYR99NF,Departed,Ryanair,FR,RYR,SP-RZI,Boeing 737 MAX 8,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-01 09:00:00,2025-05-01 09:00:00,Roma,CIA,LIRA,Europe/Rome,2025-05-01 11:00:00,2025-05-01 10:59:00
W6 2092,WZZ677,Arrived,Wizz Air,W6,WZZ,HA-LZM,Airbus A320,Lyon,LYS,LFLL,Europe/Paris,2025-04-30 06:50:00,2025-04-30 07:20:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-30 09:00:00,2025-05-01 09:19:00
AF 1878,AFR36XZ,Arrived,Air France,AF,AFR,F-HBLB,Embraer 190,Paris,CDG,LFPG,Europe/Paris,2025-04-30 07:05:00,2025-04-30 07:38:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-30 09:15:00,2025-05-01 09:27:00
FR 5516,RYR7XB,Arrived,Ryanair,FR,RYR,SP-RZI,Boeing 737,Bristol,BRS,EGGD,Europe/London,2025-04-30 07:50:00,2025-04-30 08:05:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-30 10:20:00,2025-05-01 10:10:00
FR 8842,RYR8842,Arrived,Ryanair,FR,RYR,SP-RZE,Boeing 737,Aberdeen,ABZ,EGPD,Europe/London,2025-04-30 07:40:00,2025-04-30 08:06:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-30 10:15:00,2025-05-01 10:14:00
FR 4204,RYR5MZ,Arrived,Ryanair,FR,RYR,SP-RZS,Boeing 737-800,Glasgow,GLA,EGPF,Europe/London,2025-04-30 08:35:00,2025-04-30 08:59:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-30 11:20:00,2025-05-01 11:11:00
U2 2937,EZY78KA,Arrived,easyJet,U2,EZY,G-EZRT,Airbus A320,Bristol,BRS,EGGD,Europe/London,2025-04-30 09:10:00,2025-04-30 09:11:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-30 11:40:00,2025-05-01 11:22:00
W6 2074,WZZ40,Arrived,Wizz Air,W6,WZZ,HA-LXV,Airbus A320,Málaga,AGP,LEMG,Europe/Madrid,2025-04-30 08:20:00,2025-04-30 08:22:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-30 11:55:00,2025-05-01 11:53:00
FR 947,,Arrived,Ryanair,FR,RYR,,Boeing 737-800,Vienna,VIE,LOWW,Europe/Vienna,2025-04-30 11:10:00,2025-04-30 11:21:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-30 12:15:00,2025-05-01 12:06:00
FR 4069,RYR83SL,Arrived,Ryanair,FR,RYR,SP-RSQ,Boeing 737-800,Prague,PRG,LKPR,Europe/Prague,2025-04-30 11:20:00,2025-04-30 11:15:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-30 12:30:00,2025-05-01 12:10:00
FR 888,RYR6RX,Arrived,Ryanair,FR,RYR,SP-RSD,Boeing 737,Bergamo,BGY,LIME,Europe/Rome,2025-04-30 11:00:00,2025-04-30 11:09:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-30 12:45:00,2025-05-01 12:37:00
FR 5534,RYR4XD,Arrived,Ryanair,FR,RYR,EI-ENI,Boeing 737-800,Brussels,CRL,EBCI,Europe/Brussels,2025-04-30 11:00:00,2025-04-30 11:07:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-30 13:00:00,2025-05-01 12:44:00
FR 4011,RYR4011,Arrived,Ryanair,FR,RYR,SP-RSK,Boeing 737-800,Goteborg,GOT,ESGG,Europe/Stockholm,2025-04-30 11:35:00,2025-04-30 11:56:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-30 13:20:00,2025-05-01 13:25:00
FR 236,RYR9G,Arrived,Ryanair,FR,RYR,SP-RKC,Boeing 737-800,Gdańsk,GDN,EPGD,Europe/Warsaw,2025-04-30 14:40:00,2025-04-30 14:40:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-30 15:55:00,2025-05-01 15:39:00
W6 2004,,Arrived,Wizz Air,W6,WZZ,,Airbus A320,London,LTN,EGGW,Europe/London,2025-04-30 13:25:00,2025-04-30 13:25:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-30 15:50:00,2025-05-01 15:42:00
FR 6735,,Arrived,Ryanair,FR,RYR,,Boeing 737,Olbia,OLB,LIEO,Europe/Rome,2025-04-30 14:40:00,,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-30 16:50:00,2025-05-01 16:44:00
JU 158,ASL158,Arrived,Air Serbia,JU,ASL,YU-ASD,ATR 72,Belgrade,BEG,LYBE,Europe/Belgrade,2025-04-30 15:50:00,2025-04-30 15:54:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-30 17:50:00,2025-05-01 17:25:00
FR 7934,,Arrived,Ryanair,FR,RYR,,Boeing 737,Podgorica,TGD,LYPG,Europe/Podgorica,2025-04-30 16:15:00,2025-04-30 16:17:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-30 17:50:00,2025-05-01 17:37:00
FR 82,RYR81NE,Arrived,Ryanair,FR,RYR,SP-RSD,Boeing 737,Roma,CIA,LIRA,Europe/Rome,2025-04-30 16:10:00,2025-04-30 16:10:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-30 18:05:00,2025-05-01 18:06:00
FR 3327,RYR2XL,Arrived,Ryanair,FR,RYR,EI-IHI,Boeing 737-800,Limerick city,SNN,EINN,Europe/Dublin,2025-04-30 14:45:00,2025-04-30 15:24:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-30 17:45:00,2025-05-01 18:09:00
LY 5119,ELY5119,Arrived,El Al,LY,ELY,4X-EKM,Boeing 737,Tel Aviv Yafo,TLV,LLBG,Asia/Jerusalem,2025-04-30 15:15:00,2025-04-30 15:43:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-30 19:00:00,2025-05-01 18:46:00
FR 4635,RYR3Q,Arrived,Ryanair,FR,RYR,9H-QBB,Boeing 737-800,Stockholm,ARN,ESSA,Europe/Stockholm,2025-04-30 16:50:00,2025-04-30 17:10:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-30 18:45:00,2025-05-01 18:49:00
FR 2432,RYR85VG,Arrived,Ryanair,FR,RYR,EI-EVF,Boeing 737-800,London,STN,EGSS,Europe/London,2025-04-30 16:45:00,2025-04-30 17:04:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-30 19:00:00,2025-05-01 19:09:00
FR 2023,RYR59QF,Arrived,Ryanair,FR,RYR,SP-RNK,Boeing 737-800,Dublin,DUB,EIDW,Europe/Dublin,2025-04-30 16:50:00,2025-04-30 16:50:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-30 19:40:00,2025-05-01 19:30:00
RK 2141,RUK2393,Arrived,Ryanair UK,RK,RUK,G-RUKI,Boeing 737-800,Manchester,MAN,EGCC,Europe/London,2025-04-30 16:50:00,2025-04-30 17:12:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-30 19:20:00,2025-05-01 19:37:00
FR 6624,RYR4TY,Arrived,Ryanair,FR,RYR,9H-VUS,Boeing 737,Edinburgh,EDI,EGPH,Europe/London,2025-04-30 16:50:00,2025-04-30 17:31:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-30 19:30:00,2025-05-01 19:48:00
W6 2052,,Arrived,Wizz Air,W6,WZZ,,Airbus A320,Larnarca,LCA,LCLK,Asia/Nicosia,2025-04-30 16:55:00,,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-30 20:20:00,2025-05-01 20:02:00
U2 2263,EZY72RX,Arrived,easyJet,U2,EZY,G-EZTZ,Airbus A320,Manchester,MAN,EGCC,Europe/London,2025-04-30 16:20:00,2025-04-30 17:35:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-30 18:50:00,2025-05-01 20:05:00
FR 3052,,Arrived,Ryanair,FR,RYR,,Boeing 737,Souda,CHQ,LGSA,Europe/Athens,2025-04-30 18:00:00,,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-30 20:50:00,2025-05-01 20:23:00
FR 2723,RYR556Q,Arrived,Ryanair,FR,RYR,SP-RZP,Boeing 737,Bari,BRI,LIBD,Europe/Rome,2025-04-30 18:15:00,,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-30 20:05:00,2025-05-01 20:32:00
FR 6360,RYR346,Arrived,Ryanair,FR,RYR,SP-RZI,Boeing 737 MAX 8,Liverpool,LPL,EGGP,Europe/London,2025-04-30 18:45:00,2025-04-30 19:00:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-30 21:15:00,2025-05-01 21:02:00
W6 2072,WZZ445,Arrived,Wizz Air,W6,WZZ,9H-WNJ,Airbus A321 NEO,Nice,NCE,LFMN,Europe/Paris,2025-04-30 18:45:00,,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-30 20:50:00,2025-05-01 21:05:00
LH 1363,DLH6CM,Departed,Lufthansa,LH,DLH,D-AIUN,Airbus A320,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-01 09:15:00,2025-05-01 09:15:00,Frankfurt-am-Main,FRA,EDDF,Europe/Berlin,2025-05-01 10:55:00,2025-05-01 10:37:00
FR 6782,RYR8C,Departed,Ryanair,FR,RYR,SP-RZE,Boeing 737 MAX 8,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-01 09:20:00,2025-05-01 09:20:00,Trieste,TRS,LIPQ,Europe/Rome,2025-05-01 10:50:00,2025-05-01 10:55:00
FR 2722,RYR552A,Departed,Ryanair,FR,RYR,SP-RKC,Boeing 737-800,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-01 09:20:00,2025-05-01 09:20:00,Bari,BRI,LIBD,Europe/Rome,2025-05-01 11:15:00,
U2 8822,EZY97HX,Departed,easyJet,U2,EZY,G-EZBV,Airbus A319,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-01 09:30:00,2025-05-01 09:30:00,London,LGW,EGKK,Europe/London,2025-05-01 12:10:00,2025-05-01 12:10:00
FR 3716,RYR93XJ,Departed,Ryanair,FR,RYR,SP-RZK,Boeing 737 MAX 8,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-01 09:30:00,2025-05-01 09:30:00,Burgas,BOJ,LBBG,Europe/Sofia,2025-05-01 11:25:00,
FR 1812,RYR994W,Departed,Ryanair,FR,RYR,9H-VVF,Boeing 737 MAX 8,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-01 09:30:00,2025-05-01 09:30:00,London,LTN,EGGW,Europe/London,2025-05-01 12:00:00,2025-05-01 12:00:00
FR 2174,RYR9DR,Departed,Ryanair,FR,RYR,SP-RSK,Boeing 737-800,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-01 09:45:00,2025-05-01 09:45:00,Memmingen,FMM,EDJA,Europe/Berlin,2025-05-01 11:10:00,2025-05-01 11:12:00
